case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0374,24,24,0,20,BalancedZippelSeparated
fire7_graph5_rank0375,22,22,0,23,BalancedZippelSeparated
fire7_graph5_rank0376,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0377,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0378,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0379,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0380,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0381,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0382,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0383,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0384,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0385,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0386,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0387,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0388,20,20,0,18,BalancedZippelSeparated
fire7_graph5_rank0389,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0390,22,22,0,20,BalancedZippelSeparated
fire7_graph5_rank0391,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0392,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0393,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0394,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0395,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0396,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0397,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0398,23,23,0,23,BalancedZippelSeparated
fire7_graph5_rank0399,19,19,0,21,BalancedZippelSeparated
fire7_graph5_rank0400,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0401,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0402,28,28,0,27,BalancedZippelSeparated
fire7_graph5_rank0403,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0404,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0405,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0406,25,24,-1,26,BalancedZippelSeparated
fire7_graph5_rank0407,26,23,-3,29,BalancedZippelSeparated
fire7_graph5_rank0408,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0409,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0410,19,19,0,20,BalancedZippelSeparated
fire7_graph5_rank0411,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0412,21,20,-1,20,BalancedZippelSeparated
