case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
dense_total3,BalancedZippel,7,0,553.302,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,8,0,908.914,276,0,1,6,0,35,20,36,1
dense_total3,CuytLee,8,0,491.692,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,8,0,550.842,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippel,9,0,562.052,160,0,1,3,0,35,20,18,0
dense_total3,CuytLee,9,0,471.962,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,9,0,911.164,276,0,1,6,0,35,20,36,1
dense_box3,CuytLee,1,0,1077.475,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,1,0,389.031,88,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,1,0,579.602,118,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,2,0,383.552,88,0,1,3,0,64,27,18,0
dense_box3,CuytLee,2,0,1062.804,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,2,0,586.043,118,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,3,0,575.643,118,0,1,3,0,64,27,18,0
dense_box3,CuytLee,3,0,1061.524,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,3,0,387.992,88,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,4,0,582.402,118,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,4,0,380.871,88,0,1,3,0,64,27,18,0
dense_box3,CuytLee,4,0,1060.095,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,5,0,409.971,88,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,5,0,569.362,118,0,1,3,0,64,27,18,0
dense_box3,CuytLee,5,0,1052.715,228,0,1,4,11,64,27,0,0
dense_box3,CuytLee,6,0,1045.574,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,6,0,585.902,118,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,6,0,385.132,88,0,1,3,0,64,27,18,0
dense_box3,CuytLee,7,0,1051.614,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,7,0,388.521,88,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,7,0,579.552,118,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,8,0,384.101,88,0,1,3,0,64,27,18,0
dense_box3,CuytLee,8,0,1057.354,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,8,0,584.582,118,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,9,0,565.432,118,0,1,3,0,64,27,18,0
dense_box3,CuytLee,9,0,1052.624,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,9,0,399.782,88,0,1,3,0,64,27,18,0
paper_eq28_y_d,CuytLee,1,0,48873.054,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,1,0,7684.260,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,1,0,13720.801,509,0,1,2,0,248,180,7,0
